Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000186265,BTLA,0.03,3.81,6.99,2.06,3.23,0.65
ENSG00000186272,ZNF17,5.23,3.60,-0.54,5.40,3.07,-0.81
ENSG00000186280,KDM4D,5.86,2.42,-1.28,5.64,1.72,-1.71
ENSG00000186281,GPAT2,0.14,0.06,-1.27,0.11,0.06,-0.89
ENSG00000186283,TOR3A,34.14,16.24,-1.07,23.95,19.40,-0.30
ENSG00000186288,PABPC1L2A,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000186297,GABRA5,0.05,0.37,2.87,0.09,0.42,2.21
ENSG00000186298,PPP1CC,51.21,64.39,0.33,97.40,33.04,-1.56
ENSG00000186300,ZNF555,11.47,1.91,-2.59,9.63,0.90,-3.43
ENSG00000186306,OR10T2,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186310,NAP1L3,0.00,0.35,Inf,0.20,0.29,0.52
ENSG00000186314,PRELID2,55.30,0.53,-6.71,37.54,0.16,-7.87
ENSG00000186318,BACE1,0.61,1.16,0.94,0.57,1.32,1.21
ENSG00000186326,RGS9BP,0.18,0.01,-4.87,0.12,0.01,-3.96
ENSG00000186329,TMEM212,0.01,0.00,-Inf,0.00,0.00,-Inf
ENSG00000186334,SLC36A3,0.00,0.01,Inf,0.00,0.01,1.17
ENSG00000186335,SLC36A2,0.46,3.41,2.91,5.47,0.39,-3.80
ENSG00000186340,THBS2,3.10,0.53,-2.55,2.72,0.17,-3.98
ENSG00000186350,RXRA,0.49,0.83,0.75,0.33,1.03,1.66
ENSG00000186352,ANKRD37,14.06,7.14,-0.98,18.81,1.85,-3.35
ENSG00000186354,C9orf47,0.01,0.26,4.68,0.07,0.27,1.88
ENSG00000186364,NUDT17,0.08,0.92,3.62,0.47,0.84,0.83
ENSG00000186367,KIAA1024L,0.01,0.01,1.49,0.00,0.02,2.39
ENSG00000186376,ZNF75D,0.10,1.31,3.72,0.17,1.57,3.20
ENSG00000186377,CYP4X1,1.28,0.45,-1.51,0.90,0.53,-0.78
ENSG00000186393,KRT26,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186395,KRT10,0.17,15.11,6.47,2.73,16.93,2.63
ENSG00000186399,GOLGA8R,0.03,0.00,-2.91,0.03,0.00,-Inf
ENSG00000186407,CD300E,0.00,0.02,Inf,0.01,0.02,1.58
ENSG00000186409,CCDC30,0.33,0.05,-2.59,0.26,0.04,-2.89
ENSG00000186416,NKRF,0.07,8.51,7.03,5.88,6.25,0.09
ENSG00000186417,GLDN,1.98,0.40,-2.30,1.45,0.40,-1.86
ENSG00000186431,FCAR,0.01,0.09,3.17,0.01,0.11,4.08
ENSG00000186432,KPNA4,0.07,4.04,5.85,0.52,4.69,3.17
ENSG00000186439,TRDN,0.19,0.05,-1.93,0.17,0.03,-2.66
ENSG00000186440,OR6P1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186442,KRT3,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186446,ZNF501,13.27,1.75,-2.92,10.14,1.21,-3.06
ENSG00000186448,ZNF197,1.40,0.43,-1.70,1.05,0.45,-1.24
ENSG00000186451,SPATA12,0.00,0.13,Inf,0.02,0.16,3.22
ENSG00000186452,TMPRSS12,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000186453,FAM228A,46.03,0.70,-6.04,31.06,0.60,-5.71
ENSG00000186458,DEFB132,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186462,NAP1L2,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000186468,RPS23,106.27,183.98,0.79,127.49,187.49,0.56
ENSG00000186469,GNG2,15.19,1.30,-3.54,11.09,0.90,-3.62
ENSG00000186470,BTN3A2,0.03,0.02,-0.45,0.02,0.03,0.46
ENSG00000186471,AKAP14,0.17,0.67,2.03,0.44,0.59,0.42
ENSG00000186472,PCLO,3.84,0.43,-3.14,2.88,0.30,-3.28
ENSG00000186474,KLK12,0.01,0.00,-1.32,0.01,0.01,-0.42
ENSG00000186479,RGS7BP,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000186480,INSIG1,15.93,12.89,-0.31,13.69,13.81,0.01
ENSG00000186487,MYT1L,0.55,0.06,-3.20,0.41,0.04,-3.37
ENSG00000186493,C5orf38,0.00,0.07,Inf,0.07,0.03,-1.11
ENSG00000186496,ZNF396,0.14,0.09,-0.52,0.09,0.12,0.38
ENSG00000186501,TMEM222,0.67,11.87,4.15,2.30,13.44,2.54
ENSG00000186509,OR9Q1,0.19,0.02,-3.57,0.15,0.00,-5.91
ENSG00000186510,CLCNKA,0.00,0.02,Inf,0.00,0.02,Inf
ENSG00000186513,OR9Q2,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186517,ARHGAP30,0.93,0.39,-1.26,0.70,0.42,-0.74
ENSG00000186522,SEPT10,21.33,6.51,-1.71,18.71,4.77,-1.97
ENSG00000186523,FAM86B1,0.29,0.08,-1.79,0.23,0.08,-1.64
ENSG00000186526,CYP4F8,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186529,CYP4F3,0.03,0.02,-0.47,0.03,0.02,-0.83
ENSG00000186532,SMYD4,7.68,2.29,-1.74,5.66,2.46,-1.20
ENSG00000186562,DEFB105A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186564,FOXD2,0.00,0.13,Inf,0.05,0.13,1.51
ENSG00000186566,GPATCH8,15.60,7.46,-1.06,13.32,7.14,-0.90
ENSG00000186567,CEACAM19,0.00,0.10,Inf,0.01,0.12,4.20
ENSG00000186572,DEFB107A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186575,NF2,2.04,32.41,3.99,11.51,32.90,1.52
ENSG00000186577,C6orf1,1.41,5.76,2.04,1.22,6.99,2.52
ENSG00000186583,SPATC1,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000186591,UBE2H,65.18,6.12,-3.41,45.60,6.04,-2.92
ENSG00000186603,HPDL,0.09,53.72,9.30,0.15,67.08,8.80
ENSG00000186625,KATNA1,38.12,21.06,-0.86,27.46,24.79,-0.15
ENSG00000186628,FSD2,0.04,0.12,1.58,0.07,0.12,0.65
ENSG00000186635,ARAP1,0.16,2.73,4.09,0.14,3.39,4.60
ENSG00000186638,KIF24,2.47,1.00,-1.31,2.02,0.97,-1.06
ENSG00000186642,PDE2A,0.05,0.09,1.03,0.04,0.11,1.58
ENSG00000186648,CARMIL3,0.11,0.01,-2.97,0.07,0.02,-2.07
ENSG00000186652,PRG2,0.05,0.03,-0.40,0.03,0.04,0.50
ENSG00000186654,PRR5,3.38,4.62,0.45,2.69,5.46,1.02
ENSG00000186660,ZFP91,5.17,4.83,-0.10,6.29,3.90,-0.69
ENSG00000186665,C17orf58,1.54,6.11,1.99,1.70,7.14,2.07
ENSG00000186666,BCDIN3D,0.73,1.67,1.21,0.93,1.76,0.93
ENSG00000186675,MAGEE2,0.04,0.00,-Inf,0.03,0.00,-Inf
ENSG00000186684,CYP27C1,0.02,0.87,5.44,0.10,1.02,3.40
ENSG00000186687,LYRM7,0.22,3.30,3.94,0.32,4.00,3.64
ENSG00000186710,CFAP73,0.17,0.18,0.11,0.18,0.17,-0.03
ENSG00000186714,CCDC73,15.75,2.15,-2.87,11.73,1.76,-2.74
ENSG00000186716,BCR,3.96,2.36,-0.75,3.33,2.43,-0.45
ENSG00000186723,OR10H1,0.14,0.14,-0.02,0.32,0.00,-Inf
ENSG00000186732,MPPED1,0.05,0.00,-4.49,0.03,0.00,-3.58
ENSG00000186765,FSCN2,0.01,0.02,0.85,0.01,0.02,1.75
ENSG00000186766,FOXI2,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000186767,SPIN4,0.00,4.34,Inf,0.08,5.37,6.13
ENSG00000186777,ZNF732,7.56,2.62,-1.53,6.21,2.40,-1.37
ENSG00000186787,SPIN2B,0.04,0.71,4.16,0.70,0.39,-0.84
ENSG00000186788,SPATA31D3,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000186790,FOXE3,0.02,0.08,2.07,0.02,0.10,2.62
ENSG00000186792,HYAL3,1.70,2.85,0.75,1.61,3.20,0.99
ENSG00000186795,KCNK18,8.50,0.16,-5.73,5.92,0.01,-8.89
ENSG00000186803,IFNA10,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000186806,VSIG10L,0.65,0.12,-2.40,0.50,0.10,-2.37
ENSG00000186810,CXCR3,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000186812,ZNF397,14.55,3.17,-2.20,11.64,2.50,-2.22
ENSG00000186814,ZSCAN30,0.25,0.70,1.48,0.39,0.71,0.85
ENSG00000186815,TPCN1,0.29,0.87,1.58,0.24,1.05,2.15
ENSG00000186818,LILRB4,0.07,0.00,-Inf,0.04,0.00,-Inf
ENSG00000186827,TNFRSF4,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000186832,KRT16,0.06,0.11,1.00,0.14,0.06,-1.32
ENSG00000186834,HEXIM1,5.82,10.28,0.82,8.19,9.62,0.23
ENSG00000186838,SELENOV,0.02,0.21,3.38,0.04,0.24,2.73
ENSG00000186844,LCE1A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186847,KRT14,0.05,0.43,3.10,0.17,0.43,1.35
ENSG00000186854,TRABD2A,0.09,0.42,2.21,0.06,0.52,3.12
ENSG00000186860,KRTAP17-1,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000186862,PDZD7,3.90,0.14,-4.84,2.69,0.10,-4.79
ENSG00000186866,POFUT2,4.51,1.13,-2.00,3.47,1.06,-1.72
ENSG00000186867,QRFPR,0.00,0.04,Inf,0.00,0.06,Inf
ENSG00000186868,MAPT,1.18,0.22,-2.44,0.85,0.22,-1.95
ENSG00000186871,ERCC6L,27.09,9.80,-1.47,22.78,8.71,-1.39
ENSG00000186881,OR13F1,0.01,0.00,-0.32,0.00,0.01,0.58
ENSG00000186889,TMEM17,0.01,0.17,4.09,0.02,0.20,3.10
ENSG00000186891,TNFRSF18,0.00,0.88,Inf,0.02,1.08,5.75
ENSG00000186895,FGF3,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186897,C1QL4,0.03,0.06,1.36,0.03,0.07,1.02
ENSG00000186907,RTN4RL2,0.49,0.20,-1.28,0.60,0.05,-3.66
ENSG00000186908,ZDHHC17,0.77,2.43,1.67,1.64,2.19,0.41
ENSG00000186910,SERPINA11,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000186912,P2RY4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186918,ZNF395,13.21,0.96,-3.79,9.11,0.97,-3.24
ENSG00000186919,ZACN,0.02,0.04,1.34,0.01,0.05,2.25
ENSG00000186924,KRTAP22-1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186925,KRTAP19-6,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186930,KRTAP6-2,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186943,OR13C8,0.01,0.00,-Inf,0.01,0.00,-Inf
ENSG00000186951,PPARA,1.09,0.25,-2.12,0.77,0.28,-1.47
ENSG00000186952,TMEM232,1.48,0.09,-3.98,1.08,0.05,-4.43
ENSG00000186965,KRTAP19-2,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186970,KRTAP15-1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186971,KRTAP13-4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186973,FAM183A,0.00,0.12,Inf,0.05,0.11,1.10
ENSG00000186976,EFCAB6,3.04,0.37,-3.05,2.31,0.25,-3.21
ENSG00000186977,KRTAP19-5,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186980,KRTAP23-1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000186994,KANK3,0.00,0.34,Inf,0.01,0.42,5.96
ENSG00000186998,EMID1,0.02,0.20,3.72,0.02,0.24,3.58
ENSG00000187003,ACTL7A,0.00,0.02,Inf,0.00,0.03,Inf
ENSG00000187005,KRTAP21-1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187010,RHD,0.01,0.07,2.72,0.06,0.05,-0.33
ENSG00000187017,ESPN,0.06,0.06,-0.10,0.06,0.06,0.02
ENSG00000187021,PNLIPRP1,0.11,0.01,-4.13,0.07,0.01,-3.22
ENSG00000187024,PTRH1,0.15,0.07,-0.97,0.10,0.09,-0.06
ENSG00000187026,KRTAP21-2,0.04,0.00,-Inf,0.03,0.00,-Inf
ENSG00000187033,SAMD7,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000187037,GPR141,0.01,0.01,1.49,0.00,0.02,2.39
ENSG00000187045,TMPRSS6,0.06,0.04,-0.32,0.07,0.03,-1.42
ENSG00000187048,CYP4A11,0.01,0.00,-Inf,0.00,0.00,-Inf
ENSG00000187049,TMEM216,2.13,4.40,1.05,1.61,5.35,1.73
ENSG00000187051,RPS19BP1,1.34,54.45,5.34,5.70,64.46,3.50
ENSG00000187054,TMPRSS11A,0.00,0.04,Inf,0.05,0.01,-1.90
ENSG00000187066,TMEM262,0.06,0.10,0.83,0.05,0.12,1.30
ENSG00000187068,C3orf70,1.11,0.20,-2.47,0.78,0.22,-1.80
ENSG00000187079,TEAD1,1.13,5.78,2.36,1.87,6.38,1.77
ENSG00000187080,OR2AK2,0.01,0.02,1.85,0.03,0.00,-Inf
ENSG00000187091,PLCD1,0.58,7.64,3.72,0.77,9.27,3.59
ENSG00000187094,CCK,2.08,9.10,2.13,15.25,0.98,-3.97
ENSG00000187097,ENTPD5,1.72,0.53,-1.69,1.22,0.61,-1.01
ENSG00000187098,MITF,13.55,1.04,-3.70,9.37,1.05,-3.16
ENSG00000187105,HEATR4,0.15,0.17,0.23,0.20,0.14,-0.57
ENSG00000187109,NAP1L1,64.90,34.74,-0.90,76.18,18.75,-2.02
ENSG00000187116,LILRA5,0.03,0.01,-1.64,0.02,0.01,-0.74
ENSG00000187118,CMC1,0.43,2.28,2.41,0.36,2.80,2.97
ENSG00000187122,SLIT1,0.09,0.02,-2.09,0.06,0.02,-1.42
ENSG00000187123,LYPD6,5.06,0.37,-3.79,3.77,0.16,-4.56
ENSG00000187134,AKR1C1,0.01,0.00,-Inf,0.00,0.00,-Inf
ENSG00000187135,VSTM2B,0.00,0.07,Inf,0.00,0.09,Inf
ENSG00000187140,FOXD3,0.01,1.20,7.91,0.26,1.31,2.31
ENSG00000187144,SPATA21,0.00,0.03,Inf,0.00,0.03,3.29
ENSG00000187147,RNF220,1.41,2.66,0.92,1.16,3.15,1.44
ENSG00000187151,ANGPTL5,1.70,0.11,-3.92,1.17,0.11,-3.38
ENSG00000187164,SHTN1,7.16,4.41,-0.70,5.81,4.73,-0.30
ENSG00000187166,H1FNT,0.24,5.35,4.51,8.97,0.08,-6.90
ENSG00000187170,LCE4A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187173,LCE2A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187175,KRTAP12-1,0.04,0.00,-Inf,0.02,0.00,-Inf
ENSG00000187180,LCE2C,0.00,0.02,Inf,0.00,0.02,Inf
ENSG00000187186,RP11-195F19.5,0.32,0.32,0.00,0.38,0.27,-0.48
ENSG00000187187,ZNF546,1.04,0.29,-1.82,0.72,0.34,-1.08
ENSG00000187189,TSPYL4,5.18,2.40,-1.11,3.56,2.93,-0.28
ENSG00000187193,MT1X,30.15,56.04,0.89,28.81,63.52,1.14
ENSG00000187210,GCNT1,2.17,3.90,0.85,4.87,2.31,-1.07
ENSG00000187223,LCE2D,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187231,SESTD1,10.88,3.31,-1.72,8.04,3.55,-1.18
ENSG00000187238,LCE3B,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187239,FNBP1,27.15,15.86,-0.77,34.50,7.53,-2.20
ENSG00000187240,DYNC2H1,7.35,0.50,-3.87,5.22,0.39,-3.76
ENSG00000187242,KRT12,0.01,0.43,5.41,0.68,0.03,-4.77
ENSG00000187243,MAGED4B,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187244,BCAM,0.02,0.46,4.94,0.06,0.54,3.26
ENSG00000187257,RSBN1L,4.87,7.08,0.54,6.83,6.16,-0.15
ENSG00000187258,NPSR1,0.14,0.07,-0.95,0.09,0.09,-0.04
ENSG00000187260,WDR86,0.24,0.02,-3.32,0.16,0.03,-2.57
ENSG00000187266,EPOR,0.12,2.11,4.13,1.37,1.67,0.28
ENSG00000187268,FAM9C,0.40,0.71,0.84,0.30,0.87,1.53
ENSG00000187272,KRTAP9-8,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187288,CIDEC,1.33,1.80,0.45,0.89,2.25,1.35
ENSG00000187323,DCC,2.75,0.20,-3.81,1.96,0.15,-3.76
ENSG00000187325,TAF9B,14.29,4.71,-1.60,10.29,5.31,-0.95
ENSG00000187372,PCDHB13,0.02,0.03,0.77,0.06,0.01,-3.00
ENSG00000187391,MAGI2,1.18,0.06,-4.25,0.84,0.04,-4.59
ENSG00000187398,LUZP2,0.31,0.01,-5.28,0.21,0.01,-4.37
ENSG00000187416,LHFPL3,1.75,1.87,0.10,1.64,1.98,0.27
ENSG00000187446,CHP1,13.46,104.13,2.95,23.29,119.42,2.36
ENSG00000187474,FPR3,0.00,0.05,Inf,0.06,0.02,-1.70
ENSG00000187475,HIST1H1T,0.00,0.94,Inf,1.26,0.23,-2.45
ENSG00000187479,C11orf96,0.00,0.27,Inf,0.00,0.34,Inf
ENSG00000187486,KCNJ11,0.02,0.05,1.20,0.01,0.06,2.11
ENSG00000187492,CDHR4,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000187498,COL4A1,0.01,12.08,11.24,0.01,15.10,11.15
ENSG00000187510,PLEKHG7,0.18,0.06,-1.54,0.13,0.07,-0.80
ENSG00000187513,GJA4,2.31,0.41,-2.51,1.71,0.38,-2.16
ENSG00000187514,PTMA,104.07,327.08,1.65,277.78,252.55,-0.14
ENSG00000187516,HYPM,0.00,0.29,Inf,0.24,0.19,-0.34
ENSG00000187522,HSPA14,10.77,38.31,1.83,20.09,38.21,0.93
ENSG00000187527,ATP13A5,0.75,0.03,-4.45,0.53,0.02,-5.15
ENSG00000187531,SIRT7,2.89,3.13,0.12,2.44,3.53,0.53
ENSG00000187533,PRR27,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000187535,IFT140,0.93,0.56,-0.73,0.67,0.66,-0.03
ENSG00000187537,POTEG,0.02,0.41,4.35,0.63,0.05,-3.81
ENSG00000187545,PRAMEF10,0.11,3.81,5.11,4.62,1.35,-1.78
ENSG00000187546,AGMO,12.78,0.88,-3.86,9.73,0.19,-5.66
ENSG00000187550,SBK2,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187553,CYP26C1,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000187554,TLR5,1.01,0.09,-3.52,0.74,0.06,-3.62
ENSG00000187555,USP7,28.06,65.35,1.22,64.68,47.21,-0.45
ENSG00000187556,NANOS3,0.02,0.12,2.63,0.01,0.16,3.54
ENSG00000187559,FOXD4L3,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187566,NHLRC1,0.08,0.46,2.63,0.05,0.58,3.54
ENSG00000187569,DPPA3,2776.97,996.16,-1.48,2719.72,593.90,-2.20
ENSG00000187581,COX8C,3.06,5.57,0.87,2.21,6.83,1.63
ENSG00000187583,PLEKHN1,0.07,0.07,0.04,0.05,0.09,0.81
ENSG00000187595,ZNF385C,0.20,0.13,-0.67,0.20,0.11,-0.95
ENSG00000187600,TMEM247,0.15,1.48,3.35,0.43,1.60,1.90
ENSG00000187601,MAGEH1,0.00,0.98,Inf,0.19,1.09,2.51
ENSG00000187605,TET3,29.69,1.46,-4.35,20.25,1.48,-3.78
ENSG00000187607,ZNF286A,0.19,2.00,3.44,0.52,2.21,2.10
ENSG00000187608,ISG15,0.00,1.98,Inf,0.07,2.43,5.18
ENSG00000187609,EXD3,1.97,0.45,-2.12,1.60,0.36,-2.17
ENSG00000187612,OR5W2,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000187616,TMEM8C,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000187624,C17orf97,0.01,0.07,3.81,0.00,0.09,4.71
ENSG00000187626,ZKSCAN4,14.04,4.61,-1.61,11.13,4.43,-1.33
ENSG00000187627,RGPD1,0.02,0.02,-0.32,0.02,0.02,-0.42
ENSG00000187630,DHRS4L2,0.02,0.05,1.43,0.01,0.07,2.34
ENSG00000187634,SAMD11,0.02,0.55,5.21,0.13,0.61,2.26
ENSG00000187642,PERM1,0.01,0.01,0.49,0.01,0.02,1.39
ENSG00000187650,VMAC,1.58,0.54,-1.54,1.14,0.62,-0.88
ENSG00000187658,C5orf52,0.00,0.29,Inf,0.00,0.37,Inf
ENSG00000187664,HAPLN4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187672,ERC2,15.83,1.06,-3.89,11.84,0.37,-5.02
ENSG00000187676,B3GLCT,0.21,0.79,1.91,0.15,0.98,2.67
ENSG00000187678,SPRY4,1.07,4.14,1.95,3.02,3.45,0.19
ENSG00000187682,ERAS,0.02,0.01,-0.91,0.01,0.01,-0.83
ENSG00000187688,TRPV2,0.03,1.91,6.26,0.06,2.36,5.38
ENSG00000187689,AMTN,0.10,0.00,-Inf,0.06,0.00,-Inf
ENSG00000187690,CXorf67,211.71,9.52,-4.48,151.41,4.20,-5.17
ENSG00000187695,RP11-723O4.6,25.00,5.37,-2.22,18.26,5.51,-1.73
ENSG00000187699,C2orf88,3.54,0.31,-3.51,2.57,0.23,-3.48
ENSG00000187701,OR2T27,0.01,0.03,1.68,0.04,0.02,-1.07
ENSG00000187713,TMEM203,2.88,9.33,1.70,3.35,10.59,1.66
ENSG00000187714,SLC18A3,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000187715,KBTBD12,0.01,0.00,-0.32,0.01,0.00,-Inf
ENSG00000187720,THSD4,5.22,0.19,-4.78,3.69,0.08,-5.62
ENSG00000187726,DNAJB13,1.10,0.06,-4.15,0.80,0.03,-4.73
ENSG00000187730,GABRD,0.02,0.98,5.62,0.19,1.10,2.56
ENSG00000187735,TCEA1,2.19,24.17,3.47,11.98,22.32,0.90
ENSG00000187736,NHEJ1,0.09,0.36,2.10,0.08,0.44,2.45
ENSG00000187741,FANCA,0.50,3.98,2.99,1.72,3.94,1.20
ENSG00000187742,SECISBP2,22.68,4.33,-2.39,16.81,4.15,-2.02
ENSG00000187747,OR52B6,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187753,C9orf153,0.01,0.28,4.83,0.26,0.17,-0.62
ENSG00000187754,SSX7,0.00,0.01,Inf,0.01,0.01,-1.00
ENSG00000187758,ADH1A,0.00,0.04,Inf,0.07,0.00,-Inf
ENSG00000187764,SEMA4D,1.16,0.88,-0.39,1.09,0.86,-0.34
ENSG00000187766,KRTAP10-8,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187772,LIN28B,0.64,8.88,3.81,2.09,9.85,2.23
ENSG00000187773,FAM69C,0.05,0.01,-2.49,0.03,0.01,-1.58
ENSG00000187775,DNAH17,2.28,0.30,-2.92,1.70,0.24,-2.83
ENSG00000187778,MCRS1,9.33,40.76,2.13,10.82,47.50,2.13
ENSG00000187783,TMEM72,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187790,FANCM,6.58,2.44,-1.43,6.05,1.80,-1.75
ENSG00000187791,FAM205C,0.28,0.00,-6.10,0.18,0.01,-5.20
ENSG00000187792,ZNF70,0.96,0.33,-1.56,0.70,0.36,-0.95
ENSG00000187796,CARD9,0.02,0.22,3.85,0.02,0.27,3.99
ENSG00000187800,PEAR1,0.01,0.01,-0.74,0.01,0.01,0.17
ENSG00000187801,ZFP69B,4.30,2.98,-0.53,3.68,3.12,-0.24
ENSG00000187806,TMEM202,0.00,0.37,Inf,0.04,0.43,3.55
ENSG00000187808,SOWAHD,0.04,0.43,3.61,0.03,0.53,3.98
ENSG00000187815,ZFP69,4.43,0.64,-2.78,3.15,0.66,-2.27
ENSG00000187821,HELT,0.03,0.01,-1.91,0.02,0.01,-1.00
ENSG00000187823,ZCCHC16,0.01,0.00,-Inf,0.01,0.00,-Inf
ENSG00000187824,TMEM220,0.11,2.11,4.26,0.20,2.54,3.64
ENSG00000187833,C2orf78,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187837,HIST1H1C,0.44,54.59,6.97,62.92,21.27,-1.56
ENSG00000187838,TMEM256-PLSCR3,0.02,0.02,-0.32,0.02,0.02,0.07
ENSG00000187840,EIF4EBP1,5.57,162.68,4.87,5.63,201.91,5.16
ENSG00000187848,P2RX2,0.01,0.01,1.00,0.00,0.01,1.91
ENSG00000187855,ASCL4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187857,OR6C75,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187860,CCDC157,0.56,0.86,0.63,0.83,0.73,-0.17
ENSG00000187862,TTC24,0.81,0.02,-5.49,0.55,0.02,-4.97
ENSG00000187866,FAM122A,51.48,7.58,-2.76,41.40,4.17,-3.31
ENSG00000187867,PALM3,2.21,0.76,-1.54,1.65,0.82,-1.01
ENSG00000187871,GFRAL,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000187889,C1orf168,4.29,0.21,-4.33,3.05,0.12,-4.64
ENSG00000187902,SHISA7,0.00,0.07,Inf,0.01,0.09,3.09
ENSG00000187905,LRRC74B,0.09,0.01,-3.49,0.06,0.01,-2.58
ENSG00000187908,DMBT1,0.75,0.07,-3.50,0.61,0.00,-Inf
ENSG00000187912,CLEC17A,0.00,0.27,Inf,0.44,0.00,-7.47
ENSG00000187918,OR51I2,0.04,0.01,-2.32,0.03,0.01,-1.42
ENSG00000187922,LCN10,0.00,0.00,NA,0.00,0.00,NA
ENSG00000187942,LDLRAD2,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000187944,C2orf66,0.03,0.05,0.85,0.06,0.04,-0.86
ENSG00000187950,OVCH1,2.01,0.16,-3.63,1.49,0.09,-4.01
ENSG00000187951,ARHGAP11B,0.27,1.12,2.08,1.01,0.78,-0.39
ENSG00000187954,CYHR1,0.92,1.46,0.66,0.90,1.61,0.83
ENSG00000187955,COL14A1,0.54,0.13,-2.10,0.52,0.04,-3.79
ENSG00000187957,DNER,0.37,0.18,-1.04,0.27,0.20,-0.42
ENSG00000187959,CPSF4L,7.37,1.20,-2.62,5.23,1.26,-2.05
ENSG00000187961,KLHL17,0.80,2.88,1.85,1.60,2.79,0.80
ENSG00000187969,ZCCHC13,0.18,0.09,-1.00,0.12,0.11,-0.09
ENSG00000187980,PLA2G2C,0.01,0.00,-Inf,0.00,0.00,-Inf
ENSG00000187987,ZSCAN23,0.00,0.04,Inf,0.00,0.05,3.98
ENSG00000187994,RINL,0.06,0.92,4.07,0.05,1.15,4.52
ENSG00000187997,C17orf99,2.96,0.34,-3.11,2.17,0.28,-2.95
ENSG00000188000,OR7D2,0.01,0.02,0.68,0.01,0.02,1.58
ENSG00000188001,TPRG1,9.39,0.43,-4.45,6.63,0.26,-4.69
ENSG00000188004,C1orf204,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000188010,MORN2,18.49,27.64,0.58,17.00,31.04,0.87
ENSG00000188011,RTP5,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000188015,S100A3,0.01,0.07,2.85,0.01,0.09,3.75
ENSG00000188021,UBQLN2,2.04,5.87,1.53,2.15,6.75,1.65
ENSG00000188026,RILPL1,0.09,0.26,1.61,0.06,0.32,2.34
ENSG00000188032,C19orf67,19.19,0.87,-4.46,13.54,0.53,-4.69
